      1 GO:0000019	regulation of mitotic recombination
     35 GO:0022008	neurogenesis
     35 GO:0040007	growth
     35 GO:0043005	neuron projection
     35 GO:0043085	positive regulation of catalytic activity
     35 GO:0044419	interspecies interaction between organisms
     35 GO:0046394	carboxylic acid biosynthetic process
     35 GO:0051240	positive regulation of multicellular organismal process
     35 GO:0072657	protein localization to membrane
     36 GO:0002181	cytoplasmic translation
     36 GO:0005911	cell-cell junction
     36 GO:0006163	purine nucleotide metabolic process
     36 GO:0006401	RNA catabolic process
     36 GO:0006928	movement of cell or subcellular component
     36 GO:0009150	purine ribonucleotide metabolic process
     36 GO:0009259	ribonucleotide metabolic process
     36 GO:0023056	positive regulation of signaling
     36 GO:0032269	negative regulation of cellular protein metabolic process
     36 GO:0045934	negative regulation of nucleobase-containing compound metabolic process
     36 GO:0051248	negative regulation of protein metabolic process
     36 GO:0051640	organelle localization
     36 GO:1902680	positive regulation of RNA biosynthetic process
     36 GO:1903508	positive regulation of nucleic acid-templated transcription
     37 GO:0006351	transcription, DNA-templated
     37 GO:0006520	cellular amino acid metabolic process
     37 GO:0006732	obsolete coenzyme metabolic process
     37 GO:0010647	positive regulation of cell communication
     37 GO:0032774	RNA biosynthetic process
     37 GO:0032787	monocarboxylic acid metabolic process
     37 GO:0033993	response to lipid
     37 GO:0048585	negative regulation of response to stimulus
     37 GO:0097659	nucleic acid-templated transcription
     37 GO:1901990	regulation of mitotic cell cycle phase transition
     38 GO:0005198	structural molecule activity
     38 GO:0005576	extracellular region
     38 GO:0005759	mitochondrial matrix
     38 GO:0006281	DNA repair
     38 GO:0006397	mRNA processing
     38 GO:0006511	ubiquitin-dependent protein catabolic process
     38 GO:0007017	microtubule-based process
     38 GO:0010638	positive regulation of organelle organization
     38 GO:0016788	hydrolase activity, acting on ester bonds
     38 GO:0019693	ribose phosphate metabolic process
     38 GO:0022412	cellular process involved in reproduction in multicellular organism
     38 GO:0036464	cytoplasmic ribonucleoprotein granule
     38 GO:0044459	obsolete plasma membrane part
     38 GO:0071495	cellular response to endogenous stimulus
     38 GO:1901987	regulation of cell cycle phase transition
     39 GO:0015075	ion transmembrane transporter activity
     39 GO:0019941	modification-dependent protein catabolic process
     39 GO:0022618	ribonucleoprotein complex assembly
     39 GO:0031667	response to nutrient levels
     39 GO:0035556	intracellular signal transduction
     39 GO:0035770	ribonucleoprotein granule
     39 GO:0072521	purine-containing compound metabolic process
     39 GO:1901701	cellular response to oxygen-containing compound
     40 GO:0005743	mitochondrial inner membrane
     40 GO:0006979	response to oxidative stress
     40 GO:0009314	response to radiation
     40 GO:0015931	nucleobase-containing compound transport
     40 GO:0031399	regulation of protein modification process
     40 GO:0046914	transition metal ion binding
     40 GO:0071826	ribonucleoprotein complex subunit organization
     40 GO:0097458	obsolete neuron part
     41 GO:0005840	ribosome
     41 GO:0006955	immune response
     41 GO:0009991	response to extracellular stimulus
     41 GO:0015630	microtubule cytoskeleton
     41 GO:0042981	regulation of apoptotic process
     41 GO:0051603	proteolysis involved in cellular protein catabolic process
     42 GO:0010243	response to organonitrogen compound
     42 GO:0010608	posttranscriptional regulation of gene expression
     42 GO:0019866	organelle inner membrane
     42 GO:0030054	cell junction
     42 GO:0044087	regulation of cellular component biogenesis
     42 GO:0048608	reproductive structure development
     42 GO:0051254	positive regulation of RNA metabolic process
     42 GO:0061458	reproductive system development
     43 GO:0006952	defense response
     43 GO:0010038	response to metal ion
     43 GO:0034470	ncRNA processing
     43 GO:0043632	modification-dependent macromolecule catabolic process
     43 GO:0044257	cellular protein catabolic process
     43 GO:0061024	membrane organization
     44 GO:0009888	tissue development
     44 GO:0033044	regulation of chromosome organization
     44 GO:0042254	ribosome biogenesis
     44 GO:0043067	regulation of programmed cell death
     44 GO:0044093	positive regulation of molecular function
     44 GO:0044255	cellular lipid metabolic process
     44 GO:0044427	obsolete chromosomal part
     44 GO:0070647	protein modification by small protein conjugation or removal
     44 GO:0080134	regulation of response to stress
     45 GO:0003729	mRNA binding
     45 GO:0005524	ATP binding
     45 GO:0044445	obsolete cytosolic part
     46 GO:0016772	transferase activity, transferring phosphorus-containing groups
     46 GO:0031329	regulation of cellular catabolic process
     46 GO:0043207	response to external biotic stimulus
     46 GO:0048584	positive regulation of response to stimulus
     46 GO:0051707	response to other organism
     46 GO:1901698	response to nitrogen compound
     47 GO:0006753	nucleoside phosphate metabolic process
     47 GO:0007276	gamete generation
     47 GO:0009117	nucleotide metabolic process
     47 GO:0009894	regulation of catabolic process
     47 GO:0017144	drug metabolic process
     47 GO:0030163	protein catabolic process
     47 GO:0030554	adenyl nucleotide binding
     47 GO:0031966	mitochondrial membrane
     47 GO:0032559	adenyl ribonucleotide binding
     47 GO:0034220	ion transmembrane transport
     47 GO:0140098	catalytic activity, acting on RNA
     47 GO:2000113	negative regulation of cellular macromolecule biosynthetic process
     48 GO:0003677	DNA binding
     48 GO:0005694	chromosome
     48 GO:0005768	endosome
     48 GO:0006605	protein targeting
     48 GO:0007346	regulation of mitotic cell cycle
     48 GO:0034655	nucleobase-containing compound catabolic process
     48 GO:0042995	cell projection
     48 GO:0044430	obsolete cytoskeletal part
     48 GO:0046700	heterocycle catabolic process
     48 GO:0120025	plasma membrane bounded cell projection
     49 GO:0005774	vacuolar membrane
     49 GO:0006629	lipid metabolic process
     49 GO:0007399	nervous system development
     49 GO:0009790	embryo development
     49 GO:0010557	positive regulation of macromolecule biosynthetic process
     49 GO:0010558	negative regulation of macromolecule biosynthetic process
     49 GO:0044270	cellular nitrogen compound catabolic process
     49 GO:0044877	protein-containing complex binding
     49 GO:1901137	carbohydrate derivative biosynthetic process
     50 GO:0006974	cellular response to DNA damage stimulus
     50 GO:0019439	aromatic compound catabolic process
     50 GO:0022857	transmembrane transporter activity
     50 GO:0032270	positive regulation of cellular protein metabolic process
     50 GO:0042493	response to drug
     50 GO:0044434	obsolete chloroplast part
     50 GO:0072594	establishment of protein localization to organelle
     50 GO:1990234	transferase complex
     50 GO:2000026	regulation of multicellular organismal development
     51 GO:0009607	response to biotic stimulus
     51 GO:0010564	regulation of cell cycle process
     51 GO:0044435	obsolete plastid part
     51 GO:0044451	obsolete nucleoplasm part
     51 GO:0051247	positive regulation of protein metabolic process
     51 GO:0070925	organelle assembly
     51 GO:0090407	organophosphate biosynthetic process
     51 GO:0098791	Golgi apparatus subcompartment
     51 GO:1901361	organic cyclic compound catabolic process
     51 GO:1903047	mitotic cell cycle process
     52 GO:0005740	mitochondrial envelope
     52 GO:0044437	obsolete vacuolar part
     52 GO:0051186	obsolete cofactor metabolic process
     53 GO:0006357	regulation of transcription by RNA polymerase II
     53 GO:0010628	positive regulation of gene expression
     53 GO:0045935	positive regulation of nucleobase-containing compound metabolic process
     54 GO:0009791	post-embryonic development
     54 GO:0009890	negative regulation of biosynthetic process
     54 GO:0016310	phosphorylation
     54 GO:0016887	ATPase activity
     54 GO:0031327	negative regulation of cellular biosynthetic process
     54 GO:0048609	multicellular organismal reproductive process
     54 GO:0050790	regulation of catalytic activity
     55 GO:0005856	cytoskeleton
     55 GO:0010941	regulation of cell death
     55 GO:0044433	obsolete cytoplasmic vesicle part
     56 GO:0000278	mitotic cell cycle
     56 GO:0008144	drug binding
     56 GO:0010035	response to inorganic substance
     56 GO:0019953	sexual reproduction
     56 GO:0051130	positive regulation of cellular component organization
     57 GO:0032504	multicellular organism reproduction
     57 GO:0044431	obsolete Golgi apparatus part
     57 GO:0048468	cell development
     58 GO:0031328	positive regulation of cellular biosynthetic process
     58 GO:0042592	homeostatic process
     58 GO:0044283	small molecule biosynthetic process
     58 GO:0046872	metal ion binding
     59 GO:0005789	endoplasmic reticulum membrane
     59 GO:0006811	ion transport
     59 GO:0009891	positive regulation of biosynthetic process
     59 GO:0044703	multi-organism reproductive process
     59 GO:0051049	regulation of transport
     59 GO:0051276	chromosome organization
     60 GO:0035639	purine ribonucleoside triphosphate binding
     60 GO:0055086	nucleobase-containing small molecule metabolic process
     60 GO:0098796	membrane protein complex
     60 GO:0098827	endoplasmic reticulum subcompartment
     61 GO:0005215	transporter activity
     61 GO:0009725	response to hormone
     61 GO:0043169	cation binding
     62 GO:0002376	immune system process
     62 GO:0006259	DNA metabolic process
     62 GO:0017076	purine nucleotide binding
     62 GO:0032555	purine ribonucleotide binding
     62 GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network
     62 GO:0042802	identical protein binding
     62 GO:0044432	obsolete endoplasmic reticulum part
     62 GO:1901565	organonitrogen compound catabolic process
     63 GO:0006412	translation
     63 GO:0009966	regulation of signal transduction
     63 GO:0033365	protein localization to organelle
     63 GO:0034660	ncRNA metabolic process
     64 GO:0017111	nucleoside-triphosphatase activity
     64 GO:0022613	ribonucleoprotein complex biogenesis
     65 GO:0032553	ribonucleotide binding
     65 GO:0051726	regulation of cell cycle
     66 GO:0005730	nucleolus
     66 GO:0016071	mRNA metabolic process
     66 GO:0043043	peptide biosynthetic process
     66 GO:0055085	transmembrane transport
     68 GO:0006508	proteolysis
     68 GO:0016462	pyrophosphatase activity
     68 GO:0016817	hydrolase activity, acting on acid anhydrides
     68 GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides
     68 GO:0022402	cell cycle process
     69 GO:0005773	vacuole
     69 GO:0010629	negative regulation of gene expression
